lift to drag ratio,gamma,apoapsis,delta_v,exit_velocity,g_load_max,heat_flux_max,convective_heat_max,radiative_heat_max
1.5,-10.8,499999.9014055246,129.0261784189188,3529.997729057371,12.20522286445118,451.82219367382606,159.86679313960713,292.6427180292714
1.6,-10.8,499999.89142271434,127.76427313581553,3530.6315451046216,12.606170243524524,447.9321183992819,159.0465920043558,289.3612841718297
1.7000000000000002,-10.8,499999.7784487835,128.41433822400268,3530.27637232077,13.372069896798877,455.5470203156299,160.56011632929048,295.663059654195
1.8,-10.8,499999.9734438568,127.1044567160634,3531.159571932704,13.932548378233879,456.5253254262704,160.96977764076465,296.5629436369002
1.9000000000000001,-10.8,500000.3943786559,126.7229843668938,3531.959597181293,14.621966868332944,457.7262275751302,161.07796261008247,297.5875418256529
2.0,-10.8,499999.64998377743,127.71309928432265,3530.842141594205,15.078319291877047,450.72076832919095,159.6818327092237,291.74745920096046
0.9,-10.9,482095.88573807257,129.1661378404333,3522.0246450105533,9.129245262007604,460.37047243489474,162.01277386718166,299.0791025482073
1.0,-10.9,499999.9427597888,132.53622545972303,3526.307671780359,9.656471907826425,463.31529016013735,162.5320827467575,301.50217228487895
1.1,-10.9,499999.85841206316,131.04927761423232,3528.10873595964,10.158300468583757,462.4122094362915,162.3534799454054,300.788680999587
1.2000000000000002,-10.9,500000.1631770372,131.1867179158112,3527.878646009996,10.649715416867553,461.78948860212483,162.12862001821964,300.21278117651156
1.3,-10.9,500000.01347404026,129.9002490032035,3529.1349289438294,11.187873029588262,463.2259907788633,162.6795829461868,301.4789673417579
1.4000000000000001,-10.9,499999.8523891187,130.43580960478857,3528.3233816095435,11.70933239001827,461.3140925061181,162.29012865655451,299.9041530511261
1.5,-10.9,500000.24481038516,129.0780786952987,3529.791390540601,12.354826115766764,461.80254158621403,162.18386372477156,300.27473172212075
1.6,-10.9,499999.8713659098,128.2354063654957,3530.470203381375,12.974518679373558,464.5269886805878,162.56095954102764,302.4928458406933
1.7000000000000002,-10.9,499999.87048558105,128.2817651249793,3529.964612900783,13.430665695337277,463.37633809849274,162.87738696495933,301.61954651450316
1.8,-10.9,500000.0148613551,128.2595198613003,3530.006514302302,14.11040824479757,467.08046314882574,163.59815338433032,304.7328915552448
1.9000000000000001,-10.9,500000.0099560348,127.0082275953896,3531.240195932046,14.642299622670135,463.07944222733227,162.77886109253592,301.4220221852801
2.0,-10.9,499999.8147298853,127.75235047308388,3530.708953292118,15.395127869916841,465.7760196960059,163.08083666919623,303.65876125862803
0.9,-11.0,479827.63029436185,128.8561304625,3521.420675531016,9.231937420741364,470.0366469968699,164.19456430602327,306.3784182806406
1.0,-11.0,500000.04713953956,132.2669738519312,3526.891219891083,9.717598169236647,471.2618165028965,164.46745402688921,307.37761794715516
1.1,-11.0,499999.8689903768,131.19484628038572,3527.779488914767,10.199804488335879,470.7597153019756,164.5412711893852,307.0067208491745
1.2000000000000002,-11.0,500000.01718230406,130.92479604185837,3527.644400813117,10.733803124830116,471.07281941567396,164.5237644174281,307.27573189437146
1.3,-11.0,499999.85853930115,130.23271486688463,3528.6480655158557,11.308005704434757,471.5692828046191,164.4880206473345,307.67603368060355
1.4000000000000001,-11.0,500000.30878077255,128.29953534629067,3530.521113829291,11.818896243966357,469.0051970034537,163.96105174553398,305.50233801892927
1.5,-11.0,499999.88018828875,128.92253659837752,3529.562424306235,12.39374490374844,471.8222094380616,164.69483948696853,307.8621221143134
1.6,-11.0,499999.85028971324,127.71796758762821,3530.7652442437225,13.058146799443854,474.67040080483184,165.24552351091472,310.25658713450565
1.7000000000000002,-11.0,499999.9560073851,128.30702939274306,3530.6066852126337,13.680028236464183,475.5900497147908,165.45978572004563,311.0502651245219
1.8,-11.0,500000.0824749577,128.9323467354552,3529.4658155728307,14.261913089784416,474.94079808185757,165.3959257993228,310.53454789156365
