velocity,gamma,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
14421.052631578947,-11.128205128205128,False,,,,,,,
14421.052631578947,-11.076923076923077,False,,,,,,,
14421.052631578947,-11.025641025641026,False,,,,,,,
14421.052631578947,-10.974358974358974,False,,,,,,,
14421.052631578947,-10.923076923076923,True,499999.83831739455,128.096934666557,3530.557301319357,7.408491213389776,299.4623468781627,177.76149219025774,121.70085468790496
14421.052631578947,-10.871794871794872,True,499999.9656705252,126.92238356321786,3531.3323663314654,7.339357005657532,294.9999873749391,174.4842313058425,120.51575606909661
14421.052631578947,-10.820512820512821,True,499999.8565249666,127.91211020244691,3530.9771399848955,7.3087401690809735,290.84286122821123,171.15194956903133,119.69091165917992
14421.052631578947,-10.76923076923077,True,499999.7204430743,128.05780391151484,3530.6434694635195,7.260817763653998,287.41320916282564,168.66216796626,118.75104119656562
14421.052631578947,-10.717948717948719,True,500000.0934457941,127.9950481086571,3530.7881005704253,7.197887042501119,282.31220641447027,164.8409819667231,117.60739112487182
14421.052631578947,-10.666666666666666,True,499999.9617968917,127.64202422981452,3530.7600087380406,7.0521098177015,272.9570187137343,157.51260323063713,115.4444154830972
14421.052631578947,-10.615384615384615,True,500000.0488360176,127.96970432550825,3530.8494592479956,6.985778444504282,268.25033120108094,154.01836237366462,114.23196882741631
14421.052631578947,-10.564102564102564,True,499999.88201985916,127.07989128535019,3531.7285731282136,6.750469443030232,257.4803882887629,145.85444935891175,111.70054919664955
14421.052631578947,-10.512820512820513,True,500000.05615308374,128.31751572242865,3530.272784934502,6.455399278101472,247.24631992578554,137.99779587134137,109.24852405444418
14421.052631578947,-10.461538461538462,False,,,,,,,
14421.052631578947,-10.41025641025641,False,,,,,,,
14421.052631578947,-10.35897435897436,False,,,,,,,
14421.052631578947,-10.307692307692308,False,,,,,,,
14421.052631578947,-10.256410256410255,False,,,,,,,
