gamma_initial,mass,velocity_initial,lift_multiplier,drag_multiplier,density_multiplier,success,failure,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux,max_g_load,apoapsis_altitude,periapsis_altitude,delta_v,velocity_exit
-11.050528265817045,9961.454739471461,16224.749927612535,1.1899887799340498,1.0301801392585888,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC71630>,True,SUCCESS,410.64247240170675,255.99995343692612,154.64251896478063,9.295389282493032,499999.89592228085,59919.12584807223,144.6466106955222,3515.4301510783207
-10.675294561992912,10011.544582595068,16426.962285039885,1.1335151948461153,1.006875180564454,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC719B0>,True,SUCCESS,395.96839287992566,243.6962378032533,153.43711228888898,8.499254477094519,499999.35565985355,59680.45955578272,121.15486811780056,3536.779325372261
-10.540432048100445,9982.73841012105,15883.4741688635,1.1186601731086887,1.0303325586741647,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7460>,True,SUCCESS,372.67988924751364,231.08013613375428,142.09656971969363,9.052355774819684,497977.1505078351,59642.66518000966,149.86301502472497,3509.62600004087
-11.060130015470717,10051.390206253694,16018.137801115708,0.9674019851179695,1.1630063476865173,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC72660>,True,SUCCESS,,,,113.02907631451386,500000.0006122215,-3323299.35706138,2245.593146980144,1850.7808373314854
-10.725481215205814,10011.748973634736,16050.226350159553,1.1437226712659394,0.866966376471529,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC72740>,True,SUCCESS,,,,11.753178254161707,500000.1722507019,59500.76198218895,140.40180403507202,3519.1486882189124
-10.474948502294714,9972.234553256685,15747.390311499037,1.0950684638082087,1.0149641384808912,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC72890>,True,SUCCESS,395.72241304537386,250.4435365892452,145.9552283585153,9.645798496369844,457042.38264028454,60026.23310043317,142.4772978101605,3499.538063275478
-10.644383944760445,10030.745857156491,15952.009750249143,0.9723013231366012,1.0106646513860276,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC72C10>,True,SUCCESS,,,,9.186208264734697,481067.0756239301,59747.894303938396,132.74828408456824,3518.496096848691
-11.050787430583318,10008.421155117105,16275.065257282755,1.0256468369746568,1.0100842513708752,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC72D60>,True,SUCCESS,,,,11.676906205644055,460916.2020932752,59854.81291205945,135.19028543413742,3507.5184743796244
-10.772392073767433,10017.96764552495,16127.873511206804,1.0903956285603413,0.8680134532183621,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC73150>,True,SUCCESS,540.9806531652026,365.76327035711387,176.07130632728808,10.332791330051634,499999.98757343454,59604.767649749614,138.223550359588,3520.9747555308045
-10.72085493932779,10009.200806667319,15959.523530070395,1.1160055965938076,1.0239274167850168,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC73A10>,True,SUCCESS,,,,11.894433296244376,485096.9762368993,59562.94463019568,143.51926959745106,3510.433788934643
